Name,Set,Market $,Prices,Qty,TCG ID,Location,Date,
Dustox 220/217 IR ASC,Ascended Heroes,$4.32,"NM $4.33 (last sold 4.00, 4.99, 3.69)",2,"676,032",,2026-05-13,
Black Belt's Training 255/217 UR ASC,Ascended Heroes,$1.29,"NM $1.08 (last sold 1.29, 1.35, 1.18)",1,"676,067",,2026-05-13,
Flaaffy - SWSH12: Silver Tempest Trainer Gallery (SWSH12: TG) TG03/TG30 SWSH12: TG,,$2.59,"NM $4.77 (last sold 5.49, 6.00, 3.20)",1,"452,017",,2026-05-13,
Alolan Exeggutor ex 248/191 HR SSP,Surging Sparks,$9.74,"NM $10.56 (last sold 12.29, 11.34, 10.64)",1,"593,855",,2026-05-13,
Iron Treads ex 073 MCAP,073 (Paldean Fates Stamped) - Miscellaneous Cards & Products,$0.95,"NM $0.91 (last sold 0.59, 0.95, 1.42)",1,"666,603",,2026-05-13,
Lapras - SWSH: Crown Zenith: Galarian Gallery (CRZ:GG) GG05/GG70 CRZ:GG,,$19.09,"NM $21.30 (last sold 19.50, 19.82, 19.78)",1,"477,049",,2026-05-13,
Tapu Koko ex 247/182 SIR PAR,Paradox Rift,$15.21,"NM $21.75 (last sold 21.55, 24.98, 20.00)",1,"523,928",,2026-05-13,
Team Rocket's Mimikyu 238/217 IR ASC,Ascended Heroes,$29.92,"NM $29.93 (last sold 28.59, 28.00, 28.59)",1,"676,050",,2026-05-13,
Lapras ex 158/142 UR SCR,Stellar Crown,$6.04,"NM $5.94 (last sold 4.75, 5.85, 6.99)",1,"567,448",,2026-05-13,
Turtwig 040 MEP,Mega Evolution Promo,$7.86,"NM $7.81 (last sold 7.32, 8.12, 6.93)",1,"684,464",,2026-05-13,
Mega Zygarde ex 104/088 UR POR,Perfect Order,$11.22,"NM $11.23 (last sold 12.00, 9.97, 11.28)",1,"684,337",,2026-05-13,
Misdreavus 233/217 IR ASC,Ascended Heroes,$6.52,"NM $6.88 (last sold 7.97, 5.51, 6.88)",1,"676,045",,2026-05-13,
Teal Mask Ogerpon ex 190/167 UR TWM,Twilight Masquerade,$7.84,"NM $7.67 (last sold 11.11, 7.98, 8.80)",1,"550,234",,2026-05-13,
Archaludon ex 224/191 UR SSP,Surging Sparks,$1.17,"NM $1.13 (last sold 1.17, 0.72, 1.11)",1,"589,868",,2026-05-13,
Iron Thorns ex 196/167 UR TWM,Twilight Masquerade,$2.37,"NM $2.41 (last sold 2.39, 2.07, 3.11)",1,"550,240",,2026-05-13,
Espathra ex 214/091 Shiny Ultra Rare PAF,Paldean Fates,$1.10,"NM $1.29 (last sold 1.34, 0.62, 1.33)",1,"535,303",,2026-05-13,
Mega Scrafty ex 270/217 Mega Attack Rare ASC,Ascended Heroes,$7.03,"NM $7.05 (last sold 6.42, 7.65, 9.74)",1,"676,082",,2026-05-13,
Gardevoir EX (155 Full Art) 155 UR PRC,Primal Clash,$12.37,"NM $68.42 (last sold 67.41, 68.74, 68.75)",1,"96,053",,2026-05-13,
Ethan's Typhlosion 190/182 IR DRI,Destined Rivals,$34.74,"NM $33.86 (last sold 35.02, 35.02, 34.24)",1,"632,990",,2026-05-13,
Lugia EX (94 Full Art) 94 UR AOR,Ancient Origins,$50.23,"NM $158.99 (last sold 48.00, 48.00, 230.00)",1,"101,516",,2026-05-13,
