Name,Set,Market $,Prices,Qty,TCG ID,Location,Date,
Crabominable 149/142 IR SCR,Stellar Crown,$2.99,"NM $3.01 (last sold 2.55, 2.60, 3.05)",1,567431,,2026-05-18,2026-05-18
Espathra 197/182 IR PAR,Paradox Rift,$7.74,"NM $7.65 (last sold 8.00, 7.00, 6.60)",1,523878,,2026-05-18,2026-05-18
Fan Rotom 250/217 IR ASC,Ascended Heroes,$4.77,"NM $4.23 (last sold 3.50, 4.00, 3.69)",1,676062,,2026-05-16,2026-05-18
Riolu - SWSH: Crown Zenith: Galarian Gallery (CRZ:GG) GG26/GG70 CRZ:GG,,$12.10,"NM $12.17 (last sold 10.00, 15.79, 10.71)",2,478045,,2026-05-16,2026-05-18
Snom 168/162 IR TEF,Temporal Forces,$14.86,"NM $13.50 (last sold 14.51, 15.00, 12.99)",1,542889,,2026-05-18,2026-05-18
Basculin 108/086 IR WHT,White Flare,$6.16,"NM $6.01 (last sold 5.45, 6.49, 6.49)",1,642220,,2026-05-12,2026-05-18
Teal Mask Ogerpon 123 Promo SVP,SV: Scarlet & Violet Promo Cards,$1.73,"NM $1.40 (last sold 1.75, 1.23, 0.98)",2,552785,,2026-05-18,2026-05-18
Noctowl 141 (Pokemon Center Exclusive) Promo SVP,SV: Scarlet & Violet Promo Cards,$36.96,"NM $35.35 (last sold 35.89, 37.16, 36.00)",1,578812,,2026-05-18,2026-05-18
Nemona 238/091 SIR PAF,Paldean Fates,$6.92,"NM $7.34 (last sold 6.53, 8.49, 7.00)",4,535104,,2026-05-12,2026-05-18
Arven 235/091 SIR PAF,Paldean Fates,$9.05,"NM $10.01 (last sold 9.66, 10.00, 10.19)",1,535095,,2026-05-12,2026-05-18
Mega Diancie ex 267/217 Mega Attack Rare ASC,Ascended Heroes,$11.20,"NM $11.28 (last sold 11.22, 12.00, 10.94)",1,676079,,2026-05-12,2026-05-18
Archaludon ex 241/191 SIR SSP,Surging Sparks,$13.15,"NM $14.91 (last sold 15.99, 13.84)",1,589869,,2026-05-12,2026-05-18
Noctowl (Master Ball Pattern) 078/131 PRE,Prismatic Evolutions,$8.46,"NM $8.94 (last sold 8.00, 9.86, 8.96)",1,610693,,2026-05-12,2026-05-18
Amarys 132/131 UR PRE,Prismatic Evolutions,$0.77,"NM $0.66 (last sold 0.50, 0.65, 0.60)",1,610487,,,2026-05-18
Mega Hawlucha ex 268/217 Mega Attack Rare ASC,Ascended Heroes,$8.78,"NM $8.51 (last sold 8.68, 8.00, 7.85)",1,676080,,,2026-05-18
Fraxure 146/086 IR BLK,Black Bolt,$18.91,"NM $20.67 (last sold 20.00, 17.99, 21.75)",1,642600,,2026-05-12,2026-05-18
Omanyte 180/165 IR MEW,Scarlet & Violet 151,$18.66,"NM $18.69 (last sold 22.43, 17.39, 16.25)",1,517031,,2026-05-12,2026-05-18
Victini 208 SVP,Scarlet & Violet Promo Cards,$15.73,"NM $15.65 (last sold 15.67, 14.99, 15.66)",4,646169,,2026-05-12,2026-05-18
Chimecho 179/167 IR TWM,Twilight Masquerade,$4.93,"NM $5.17 (last sold 4.88, 5.00, 5.91)",1,550223,,2026-05-12,2026-05-18
Flamigo 227/193 IR PAL,Paldea Evolved,$10.83,"NM $11.62 (last sold 12.23, 11.00)",2,497630,,2026-05-16,2026-05-18
Eevee 173 SVP,Scarlet & Violet Promo Cards,$103.76,"NM $111.81 (last sold 94.00, 119.99, 118.27)",1,610757,,2026-05-12,2026-05-18
Electivire - SWSH: Crown Zenith: Galarian Gallery (CRZ:GG) GG08/GG70,,$8.53,"NM $10.86 (last sold 7.99, 14.55, 11.07)",1,478025,,2026-05-16,2026-05-18
Rockruff - SWSH12: Silver Tempest Trainer Gallery (SWSH12: TG) TG07/TG30,,$5.01,"NM $4.90 (last sold 4.99, 4.49, 5.05)",1,452021,,2026-05-16,2026-05-18
Kingdra (Alpha) 108/160 Holo Rare PRC,XY - Primal Clash,$2.15,"NM $15.25 (last sold 11.91, 11.44, 22.40)",1,96006,,2026-05-16,2026-05-18
Gimmighoul 198/182 IR PAR,Paradox Rift,$11.32,"NM $15.67 (last sold 13.54, 17.81)",1,523879,,2026-05-12,2026-05-18
Meditite 153/142 IR SCR,Stellar Crown,$8.12,"NM $8.39 (last sold 11.10, 8.10, 7.83)",1,567436,,2026-05-16,2026-05-18
Skwovet 222/198 IR SVI,Scarlet & Violet Base Set,$7.87,"NM $6.68 (last sold 8.00, 7.48, 5.73)",3,490080,,2026-05-12,2026-05-18
Cottonee 090/086 IR WHT,White Flare,$7.33,"NM $7.12 (last sold 7.35, 6.69, 6.69)",1,642205,,2026-05-12,2026-05-18
Archen 131/086 IR WHT,White Flare,$6.68,"NM $6.74 (last sold 6.25, 8.29, 6.20)",1,642244,,2026-05-12,2026-05-18
Kirlia 212/198 IR SVI,Scarlet & Violet Base Set,$47.87,"NM $47.94 (last sold 50.76, 53.06, 39.99)",1,490072,,2026-05-12,2026-05-18
Swablu 213/182 IR PAR,Paradox Rift,$27.63,"NM $29.29 (last sold 27.50, 35.36, 25.00)",1,523894,,2026-05-16,2026-05-18
Loudred 212/182 IR PAR,Paradox Rift,$17.91,"NM $16.93 (last sold 15.45, 16.05, 19.28)",1,523893,,2026-05-16,2026-05-18
Floragato 197/193 IR PAL,Paldea Evolved,$20.91,"NM $22.86 (last sold 18.10, 25.49, 24.99)",1,497600,,2026-05-12,2026-05-18
Torkoal 237/236 Rainbow SM12,SM - Cosmic Eclipse,$9.43,"NM $12.21 (last sold 12.08, 15.00, 11.47)",1,201348,,2026-05-16,2026-05-18
Gallade 244/236 Rainbow SM12,SM - Cosmic Eclipse,$10.74,"NM $12.75 (last sold 11.00, 12.00, 13.99)",1,201355,,2026-05-16,2026-05-18
Scraggy 138/086 IR WHT,White Flare,$11.44,"NM $16.31 (last sold 15.00, 16.55, 15.00)",2,642251,,2026-05-12,2026-05-18
Lampent 102/086 IR WHT,White Flare,$12.49,"NM $12.73 (last sold 12.30, 13.65, 12.50)",1,642550,,2026-05-12,2026-05-18
Simipour 102/086 IR BLK,Black Bolt,$8.16,"NM $8.45 (last sold 9.19, 9.00, 7.51)",1,642555,,2026-05-16,2026-05-18
Mabosstiff 218/198 IR SVI,Scarlet & Violet Base Set,$5.49,"NM $5.94 (last sold 6.20, 6.20, 5.54)",1,490076,,2026-05-12,2026-05-18
Yveltal 205/182 IR PAR,Paradox Rift,$27.03,NM $35.00 (last sold 35.00),1,523886,,2026-05-16,2026-05-18
Mesprit 204/191 IR SSP,Surging Sparks,$12.55,"NM $12.10 (last sold 10.65, 12.43, 11.75)",1,590003,,2026-05-16,2026-05-18
Dondozo 207/198 IR SVI,Scarlet & Violet Base Set,$14.53,"NM $13.50 (last sold 13.00, 13.99)",1,487060,,2026-05-16,2026-05-18
Scorbunny 225/217 IR ASC,Ascended Heroes,$12.42,"NM $12.90 (last sold 13.39, 12.93, 13.17)",2,676037,,2026-05-16,2026-05-18
Garbodor 204/182 IR PAR,Paradox Rift,$15.78,"NM $17.72 (last sold 18.99, 16.45)",1,523885,,2026-05-16,2026-05-18
Miraidon 013 SVP,Scarlet & Violet Promo Cards,$6.32,"NM $7.79 (last sold 7.45, 9.43, 8.50)",1,490719,,2026-05-16,2026-05-18
Larvesta 099/086 IR BLK,Black Bolt,$9.74,"NM $13.33 (last sold 13.71, 13.00, 12.00)",2,642552,,2026-05-12,2026-05-18
Bisharp 143/086 IR BLK,Black Bolt,$9.10,"NM $9.99 (last sold 9.22, 7.68, 8.42)",1,642597,,2026-05-16,2026-05-18
Rocket's Zapdos 15/132 Classic Collection CCC,Classic Collection,$3.92,"NM $4.96 (last sold 4.00, 5.72, 5.00)",1,250324,,2026-05-16,2026-05-18
Sudowoodo 219/193 IR PAL,Paldea Evolved,$17.19,"NM $30.42 (last sold 34.97, 30.00, 26.29)",2,497622,,2026-05-12,2026-05-18
Armarouge 203/198 IR SVI,Scarlet & Violet Base Set,$14.68,NM $15.91 (last sold 15.91),1,490063,,2026-05-16,2026-05-18
Relicanth 173/162 IR TEF,Temporal Forces,$10.94,"NM $10.97 (last sold 8.31, 11.95, 9.63)",1,542894,,2026-05-16,2026-05-18
Cofagrigus 123/086 IR WHT,White Flare,$19.69,"NM $19.31 (last sold 20.63, 18.24, 19.67)",1,642235,,2026-05-16,2026-05-18
Kingambit 220/198 IR SVI,Scarlet & Violet Base Set,$10.07,"NM $9.77 (last sold 9.27, 10.00, 9.39)",1,490078,,2026-05-16,2026-05-18
Crustle 183/182 IR PAR,Paradox Rift,$5.22,"NM $6.24 (last sold 5.75, 6.96, 6.00)",1,523864,,,2026-05-18
Lairon 184/167 IR TWM,Twilight Masquerade,$5.37,"NM $5.35 (last sold 4.00, 5.88, 4.90)",1,550228,,2026-05-16,2026-05-18
Pawniard 142/086 IR BLK,Black Bolt,$6.55,"NM $6.72 (last sold 6.60, 6.44, 7.25)",1,642596,,2026-05-16,2026-05-18
Weavile 228/217 IR ASC,Ascended Heroes,$7.44,"NM $7.58 (last sold 9.50, 7.80, 7.08)",1,676040,,2026-05-12,2026-05-18
Amoonguss 096/086 IR BLK,Black Bolt,$37.29,"NM $38.74 (last sold 37.99, 38.98, 37.98)",1,642545,,2026-05-12,2026-05-18
Carbink 242/217 IR ASC,Ascended Heroes,$5.33,"NM $4.78 (last sold 4.00, 5.25, 5.25)",1,676054,,,2026-05-18
Bulbasaur 133/132 IR MCAP,133/132 (Mega Evolution Stamped) - Miscellaneous Cards & Products,$25.98,"NM $25.68 (last sold 29.04, 23.99, 24.00)",1,654703,,,2026-05-18
N's Zekrom 031 MEP,Mega Evolution Promo,$84.24,"NM $135.00 (last sold 135.00, 135.00)",1,680481,,,2026-05-18
Galarian Obstagoon 245/217 IR ASC,Ascended Heroes,$3.81,"NM $3.12 (last sold 4.02, 2.31, 2.31)",3,676057,,,2026-05-18
Giacomo 138/131 UR PRE,SV: Prismatic Evolutions,$0.50,"NM $0.55 (last sold 0.50, 0.23, 0.64)",1,610493,,2026-05-18,2026-05-18
Temple of Sinnoh (Secret) 214/189 Rainbow SWSH10,Astral Radiance,$4.41,"NM $4.66 (last sold 4.99, 4.70, 5.99)",1,272469,,2026-05-18,2026-05-18
Dhelmise VMAX 010/072 UR SHF,Shining Fates,$1.61,"NM $1.49 (last sold 1.66, 1.63, 1.67)",1,232380,,2026-05-18,2026-05-18
Galarian Perrserker SWSH008 SWSD,Sword & Shield Promo Cards,$4.77,"NM $5.46 (last sold 4.49, 6.85, 6.74)",2,208265,,,2026-05-18
Switch 206/165 HR MEW,SV: Scarlet & Violet 151,$2.96,"NM $2.87 (last sold 3.05, 3.51, 3.51)",1,517052,,2026-05-18,2026-05-18
Mew 011/025 Holo Rare CLB,Celebrations,$1.39,"NM $4.12 (last sold 4.33, 4.61, 4.80)",6,250309,,2026-05-16,2026-05-18
Arbok ex 185/165 UR MEW,SV: Scarlet & Violet 151,$9.91,"NM $7.97 (last sold 8.90, 6.75, 6.75)",1,517014,,2026-05-18,2026-05-18
Cufant SV090/SV122 SHFSV,Shining Fates: Shiny Vault,$2.07,"NM $2.51 (last sold 2.23, 2.73, 1.97)",1,232474,,2026-05-18,2026-05-18
Carkol SV068/SV122 SHFSV,Shiny Vault,$1.48,"NM $1.50 (last sold 1.48, 1.50, 1.47)",1,232439,,,2026-05-18
Vibrava 206/191 IR SSP,Surging Sparks,$3.23,"NM $3.39 (last sold 3.10, 3.20, 3.50)",1,590086,,,2026-05-18
Tyme 143/131 UR PRE,Prismatic Evolutions,$0.53,"NM $0.53 (last sold 0.50, 0.53, 0.64)",1,610498,,,2026-05-18
Explorer's Guidance 200/162 UR TEF,Temporal Forces,$1.60,"NM $1.53 (last sold 1.31, 1.25, 1.61)",1,542921,,,2026-05-18
