Name,Set,Market $,Prices,Qty,TCG ID,Location,Date,
Boltund V (Full Art) 249/264 UR SWSH08,Fusion Strike,$2.22,"NM $2.12 (last sold 2.00, 3.00, 1.77)",2,253144,,2026-05-18,2026-05-18
Team Rocket's Ariana 237/182 SIR DRI,Destined Rivals,$29.39,"NM $29.73 (last sold 28.00, 31.49, 29.21)",3,633037,,2026-05-12,2026-05-18
Swinub 165/159 IR JTG,Journey Together,$2.84,"NM $2.50 (last sold 1.15, 3.00, 3.33)",1,623592,,2026-05-18,2026-05-18
Sandy Shocks ex 228/182 UR PAR,Paradox Rift,$2.04,"NM $2.17 (last sold 2.05, 2.30)",1,523909,,2026-05-18,2026-05-18
Shauna (Full Art) 263/264 UR SWSH08,Fusion Strike,$3.64,"NM $3.96 (last sold 3.58, 4.49, 4.15)",2,253165,,2026-05-18,2026-05-18
Munkidori ex 083/064 UR SFA,SV: Shrouded Fable,$2.07,"NM $2.33 (last sold 2.70, 2.40, 2.30)",1,560394,,2026-05-18,2026-05-18
Houndstone 145/132 IR MEG,ME01: Mega Evolution,$2.44,"NM $1.73 (last sold 1.75, 2.40, 1.49)",1,654484,,2026-05-18,2026-05-18
Alolan Exeggutor GX (Full Art) SM UR SM04,Crimson Invasion,$8.46,"NM $4.83 (last sold 4.00, 4.50, 5.99)",1,149138,,2026-05-18,2026-05-18
Eri 199/162 UR TEF,Temporal Forces,$2.38,"NM $2.70 (last sold 2.00, 2.97, 3.00)",1,542920,,2026-05-18,2026-05-18
Wo-Chien ex 232/193 UR PAL,Paldea Evolved,$0.90,"NM $1.19 (last sold 1.09, 1.57, 1.00)",1,497637,,2026-05-18,2026-05-18
Brassius 135/131 UR PRE,SV: Prismatic Evolutions,$0.65,"NM $0.56 (last sold 0.66, 0.21, 0.66)",1,610490,,2026-05-18,2026-05-18
Counter Gain 249/191 HR SSP,Surging Sparks,$3.67,"NM $3.29 (last sold 3.80, 3.74, 2.89)",1,593856,,2026-05-18,2026-05-18
Lucian 208/167 UR TWM,Twilight Masquerade,$1.73,"NM $1.82 (last sold 2.14, 1.19, 1.20)",1,550252,,2026-05-18,2026-05-18
Training Court (Secret) 282/264 Rainbow SWSH08,Fusion Strike,$2.36,,1,253286,,2026-05-18,2026-05-18
M Slowbro EX XY UR EVO,Evolutions,$10.15,"NM $9.48 (last sold 8.60, 10.00, 8.60)",1,124040,,2026-05-18,2026-05-18
Meowth ex 062/088 POR,ME03: Perfect Order,$4.27,"NM $4.76 (last sold 4.59, 5.88, 4.71)",1,684340,,2026-05-18,2026-05-18
Mega Froslass ex 265/217 Mega Attack Rare ASC,Ascended Heroes,$17.57,"NM $16.86 (last sold 16.49, 16.28, 17.80)",2,676077,,2026-05-12,2026-05-18
Beheeyem 121/086 IR BLK,SV: Black Bolt,$5.46,"NM $5.64 (last sold 6.41, 5.35, 6.22)",1,642576,,2026-05-18,2026-05-18
Cramorant V SWSH086 Promo SWSD,SWSH: Sword & Shield Promo Cards,$0.95,"NM $0.85 (last sold 0.71, 0.99, 1.13)",1,232503,,2026-05-18,2026-05-18
Reuniclus (Master Ball Pattern) 039/086 BLK,SV: Black Bolt,$12.47,"NM $12.34 (last sold 11.92, 12.50, 11.00)",1,642662,,2026-05-18,2026-05-18
Quaxwell 207/193 IR PAL,Paldea Evolved,$9.89,"NM $9.46 (last sold 6.94, 9.45, 11.98)",1,497610,,2026-05-18,2026-05-18
Grusha 268/193 SIR PAL,Paldea Evolved,$17.67,"NM $17.64 (last sold 17.64, 18.51, 19.00)",1,497688,,2026-05-18,2026-05-18
Opal TG28/TG30 UR SWSH11: TG,Lost Origin Trainer Gallery,$1.71,"NM $1.82 (last sold 1.25, 1.78, 1.82)",1,284301,,2026-05-18,2026-05-18
Pidgeotto 197/091 Shiny PAF,Paldean Fates,$5.63,"NM $6.86 (last sold 7.00, 9.99, 4.45)",1,535165,,2026-05-16,2026-05-18
Ralts 153/091 Shiny PAF,SV: Paldean Fates,$10.74,"NM $10.27 (last sold 9.99, 10.52, 10.59)",1,534650,,2026-05-18,2026-05-18
Scyther 095/091 Shiny PAF,Paldean Fates,$10.54,"NM $10.24 (last sold 14.89, 10.52, 5.39)",1,534463,,2026-05-16,2026-05-18
Koga's Pidgeotto 027/132 G2,Gym Challenge,$4.96,"NM $19.61 (last sold 19.61) · MP $8.00 (last sold 7.00, 8.99) · HP $5.81 (last sold 5.81)",1,86515,,2026-05-18,2026-05-18
M Aerodactyl EX XY98 Promo PR,XY Promos,$4.29,"NM $23.95 (last sold 23.95) · LP $16.51 (last sold 18.50, 14.52) · MP $7.00 (last sold 7.00)",1,114008,,2026-05-18,2026-05-18
Team Rocket's Giovanni 225/182 UR DRI,Destined Rivals,$10.22,"NM $10.92 (last sold 11.49, 10.70, 10.70)",1,633025,,2026-05-18,2026-05-18
Poke Kid (Full Art) 070/072 UR SHF,Shining Fates,$7.42,"NM $9.33 (last sold 11.45, 9.53, 7.00)",1,232531,,2026-05-18,2026-05-18
Whimsicott (Master Ball Pattern) 008/131 PRE,Prismatic Evolutions,$11.90,"NM $12.06 (last sold 12.99, 10.79, 12.98)",2,610643,,2026-05-12,2026-05-18
Gardenia's Vigor (Full Art) 184/189 UR SWSH10,Astral Radiance,$8.35,"NM $7.12 (last sold 6.00, 7.99, 7.00)",1,272434,,2026-05-18,2026-05-18
Golem ex 189/165 UR MEW,Scarlet & Violet 151,$8.06,"NM $10.28 (last sold 12.50, 12.50, 7.68)",1,517021,,2026-05-12,2026-05-18
Pecharunt ex 085/064 UR SFA,Shrouded Fable,$6.58,"NM $7.33 (last sold 6.50, 6.88, 6.28)",1,560396,,2026-05-16,2026-05-18
Air Balloon 166/132 UR MEG,ME01: Mega Evolution,$2.56,"NM $3.09 (last sold 2.42, 3.95, 2.98)",1,654505,,2026-05-18,2026-05-18
Team Yell Grunt (Secret) 210/202 Rainbow SWSH01,Sword & Shield Base Set,$3.80,"NM $4.77 (last sold 4.50, 5.03)",1,208519,,2026-05-18,2026-05-18
Mega Signal 171/132 UR MEG,ME01: Mega Evolution,$1.49,"NM $1.27 (last sold 1.41, 0.74, 1.33)",2,654510,,2026-05-18,2026-05-18
Doublade 098/088 IR POR,Perfect Order,$3.16,"NM $2.92 (last sold 2.40, 3.00, 2.50)",1,684380,,2026-05-16,2026-05-18
Choice Belt (Secret) 211/189 Rainbow SWSH10,Astral Radiance,$2.74,"NM $3.33 (last sold 3.39, 4.98, 2.61)",1,272466,,2026-05-18,2026-05-18
Power Tablet (Secret) 281/264 Rainbow SWSH08,Fusion Strike,$1.83,"NM $1.88 (last sold 2.24, 1.85, 1.65)",2,253285,,2026-05-18,2026-05-18
Rugged Helmet (Secret) 228/198 Rainbow SWSH06,Chilling Reign,$2.24,"NM $2.56 (last sold 2.39, 2.39, 2.52)",1,241860,,2026-05-18,2026-05-18
Tsareena V (Full Art) 246/264 UR SWSH08,Fusion Strike,$1.72,"NM $1.82 (last sold 1.99, 1.69, 1.97)",1,253139,,2026-05-18,2026-05-18
Rare Candy 175/132 UR MEG,ME01: Mega Evolution,$3.49,"NM $6.05 (last sold 3.25, 4.25, 8.93)",1,654514,,2026-05-18,2026-05-18
Lunala GX 66/149 UR SM01,SM Base Set,$2.51,"NM $2.83 (last sold 2.49, 3.17)",1,126937,,2026-05-18,2026-05-18
Blowtorch 117/094 UR PFL,ME02: Phantasmal Flames,$1.18,"NM $1.49 (last sold 1.05, 1.53, 0.91)",1,662133,,2026-05-18,2026-05-18
M Pidgeot EX 65/108 UR EVO,XY - Evolutions,$4.99,"NM $5.08 (last sold 5.00, 5.15)",1,124078,,2026-05-12,2026-05-18
Rayquaza V SWSH147 SWSD,Sword & Shield Promo Cards,$9.85,"NM $19.48 (last sold 19.00, 19.92, 19.52)",1,250577,,2026-05-12,2026-05-18
