Name,Set,Market $,Prices,Qty,TCG ID,Location,Date
Mabosstiff 218/198 IR SVI,Scarlet & Violet Base Set,$6.26,"NM $6.33 (last sold 3.25, 5.83, 6.42)",1,490076,,2026-05-12
Mienshao 134/086 IR WHT,White Flare,$7.69,"NM $7.71 (last sold 7.30, 7.36, 7.00)",1,642247,,2026-05-12
Simipour 102/086 IR BLK,Black Bolt,$7.83,"NM $7.83 (last sold 7.00, 7.60, 7.59)",1,642555,,2026-05-12
Rapidash 189/182 IR DRI,Destined Rivals,$9.40,"NM $9.43 (last sold 9.64, 5.99, 9.75)",1,632989,,2026-05-12
Team Rocket's Spidops 187/182 IR DRI,Destined Rivals,$6.95,"NM $6.94 (last sold 7.28, 4.41, 9.08)",1,632987,,2026-05-12
Relicanth 173/162 IR TEF,Temporal Forces,$6.88,"NM $10.22 (last sold 9.99, 9.48, 9.49)",1,542894,,2026-05-12
Pidgey 207/197 IR OBF,Obsidian Flames,$18.84,"NM $18.23 (last sold 17.91, 17.44, 19.99)",2,509955,,2026-05-12
Lt. Surge's Bargain 185/132 SIR MEG,Mega Evolution,$18.82,"NM $18.78 (last sold 18.86, 18.92, 19.98)",1,654524,,2026-05-12
Dondozo 207/198 IR SVI,Scarlet & Violet Base Set,$13.26,"NM $13.10 (last sold 12.00, 11.99, 12.87)",1,487060,,2026-05-12
Reshiram GX - Hidden Fates: Shiny Vault (HIF:SV) SV51/SV94,,$51.16,"NM $58.75 (last sold 41.95, 51.26, 49.99)",1,197785,,2026-05-12
Charizard GX 9/68 UR HIF,Hidden Fates,$12.89,"NM $13.43 (last sold 11.50, 12.70, 13.00)",1,197651,,2026-05-12
Raboot 147/142 IR SCR,Stellar Crown,$6.98,"NM $6.98 (last sold 9.03, 7.19, 6.95)",1,567427,,2026-05-12
Cryogonal 111/086 IR BLK,Black Bolt,$5.89,"NM $6.64 (last sold 4.89, 6.04, 7.95)",1,642564,,2026-05-12
Rockruff - SWSH12: Silver Tempest Trainer Gallery (SWSH12: TG) TG07/TG30,,$5.55,"NM $5.08 (last sold 4.69, 5.60, 5.71)",1,452021,,2026-05-12
Okidogi ex 090/064 SIR SFA,Shrouded Fable,$21.55,"NM $21.35 (last sold 21.49, 21.00, 20.83)",1,560401,,2026-05-12
Munkidori ex 091/064 SIR SFA,Shrouded Fable,$17.16,"NM $18.82 (last sold 17.00, 18.00, 16.61)",1,560402,,2026-05-12
Yveltal 205/182 IR PAR,Paradox Rift,$24.19,"NM $24.42 (last sold 20.28, 26.79, 25.66)",1,523886,,2026-05-12
Swablu 213/182 IR PAR,Paradox Rift,$26.64,"NM $27.00 (last sold 28.50, 28.50, 28.15)",2,523894,,2026-05-12
Rotom V 177/196 Alt Art LOR,Lost Origin,$23.08,"NM $30.18 (last sold 27.99, 28.09, 36.39)",1,284119,,2026-05-12
Weedle 87/113 DS,Delta Species,$0.20,"NM $2.96 (last sold 0.40, 0.50, 0.29) · LP $2.27 (last sold 20.00, 0.30, 0.50) · MP $0.32 (last sold 0.29, 0.33, 0.32) · HP $0.23 (last sold 0.23, 0.23) · eBay $21.95 (last sold 25.00, 12.00, 41.00)",1,90543,,2026-05-12
Mantyke 189/182 IR PAR,Paradox Rift,$37.94,"NM $38.17 (last sold 37.17, 37.17, 45.98)",1,523870,,2026-05-12
Alolan Dugtrio 208/191 IR SSP,Surging Sparks,$7.96,"NM $8.01 (last sold 7.45, 6.60, 10.70)",1,589857,,2026-05-12
Meditite 153/142 IR SCR,Stellar Crown,$7.78,"NM $7.99 (last sold 7.80, 6.30, 8.00)",1,567436,,2026-05-12
Mesprit 204/191 IR SSP,Surging Sparks,$11.82,"NM $11.82 (last sold 10.49, 12.00, 10.91)",1,590003,,2026-05-12
Team Rocket's Mewtwo ex 213/182 UR DRI,Destined Rivals,$24.10,"NM $24.19 (last sold 26.96, 26.64, 23.30)",1,633013,,2026-05-12
Charizard ex 215/197 UR OBF,Obsidian Flames,$18.97,"NM $20.36 (last sold 20.35, 20.26, 20.30)",1,509963,,2026-05-12
Salvatore 212/162 SIR TEF,Temporal Forces,$14.95,"NM $15.13 (last sold 18.47, 17.49, 13.13)",1,542933,,2026-05-12
Bonnie 128/131 FA SM06,SM - Forbidden Light,$20.71,"NM $23.47 (last sold 30.00, 31.00, 27.00)",1,165766,,2026-05-12
Nidoking 174/165 Illustration Rare  MEW,Scarlet & Violet 151,$25.05,"NM $24.90 (last sold 18.99, 11.88, 10.89)",1,517029,,2026-05-12
Wally's Compassion 186/132 SIR MEG,Mega Evolution,$23.68,"NM $23.68 (last sold 22.90, 22.96, 23.99)",1,654525,,2026-05-12
Dawn 129/094 SIR PFL,Phantasmal Flames,$31.17,"NM $31.05 (last sold 29.25, 35.00, 34.99)",1,662150,,2026-05-12
Jasmine's Gaze 245/191 SIR SSP,Surging Sparks,$22.36,"NM $22.75 (last sold 19.89, 21.52, 23.00)",1,589973,,2026-05-12
Foongus 095/086 IR BLK,Black Bolt,$15.54,"NM $15.62 (last sold 12.14, 14.30, 15.00)",1,642544,,2026-05-12
Cubchoo 109/086 IR BLK,Black Bolt,$13.89,"NM $13.89 (last sold 13.49, 15.29, 13.94)",1,642562,,2026-05-12
Vanillish 112/086 IR WHT,White Flare,$11.08,"NM $11.13 (last sold 11.01, 10.90, 11.00)",1,642224,,2026-05-12
Mr. Mime 179/165 IR MEW,Scarlet & Violet 151,$17.32,"NM $17.57 (last sold 22.50, 17.04, 15.24)",1,517028,,2026-05-12
Lickitung 180/162 IR TEF,Temporal Forces,$24.16,"NM $24.05 (last sold 22.79, 24.99, 24.00)",1,542901,,2026-05-12
Galvantula ex 168/142 SIR SCR,Stellar Crown,$18.33,"NM $18.53 (last sold 17.30, 19.99, 17.91)",1,567474,,2026-05-12
Giovanni's Charisma 204/165 SIR MEW,Scarlet & Violet 151,$21.35,"NM $21.48 (last sold 18.44, 21.99, 19.44)",1,517050,,2026-05-12
Janine's Secret Art 173/131 SIR PRE,Prismatic Evolutions,$25.73,"NM $25.85 (last sold 25.90, 26.21, 28.70)",1,610528,,2026-05-12
Lycanroc VMAX 213/203 Rainbow EVS,Evolving Skies,$9.49,"NM $9.42 (last sold 9.03, 9.78, 7.69)",1,246714,,2026-05-12
Azumarill 002/111 Holo Rare N1,Neo Genesis,$48.32,"NM $27.53 (last sold 29.99, 35.00, 26.68) · LP $27.30 (last sold 75.23, 18.79, 21.79) · MP $23.69 (last sold 33.00, 31.68, 20.64) · HP $17.85 (last sold 21.59, 16.97, 14.98) · eBay $11.64 (last sold 1.99, 2.99, 7.66)",1,83678,,2026-05-12
Gardevoir - SWSH12: Silver Tempest Trainer Gallery (SWSH12: TG) TG05/TG30,,$7.96,"NM $8.15 (last sold 11.45, 11.49, 11.00)",1,452019,,2026-05-12
Unown (M) M/28 UF,Unseen Forces,$25.07,"NM $56.99 (last sold 56.99) · LP $24.53 (last sold 25.07, 23.99) · MP $16.88 (last sold 16.88) · eBay $21.65 (last sold 19.95, 22.99, 14.75)",1,90180,,2026-05-12
Charizard EX (12) 12 UR FLF,XY - Flashfire,$3.42,"NM $19.02 (last sold 21.99, 17.14, 18.71) · LP $11.66 (last sold 15.36, 9.31, 10.80) · MP $6.78 (last sold 6.80, 6.75, 6.79) · HP $5.33 (last sold 5.85, 5.44, 5.45) · eBay $10.78 (last sold 2.50, 12.41, 5.50)",1,91145,,2026-05-12
Pikachu ex SV02 RR PAL,Paldea Evolved,$3.83,"NM $4.39 (last sold 4.35, 3.68, 2.75)",1,497474,,2026-05-12
M Blastoise EX 30/146 UR XY,XY Base Set,$27.41,"NM $26.40 (last sold 30.02, 30.61, 30.62) · LP $21.87 (last sold 18.49, 20.93, 18.99) · MP $12.01 (last sold 14.53, 9.49) · HP $11.21 (last sold 11.25, 11.17) · eBay $21.21 (last sold 11.92, 25.38, 18.00)",1,86954,,2026-05-12
Dewott 106/086 IR WHT,White Flare,$13.27,"NM $15.68 (last sold 16.20, 15.63, 15.27)",1,642218,,2026-05-12
