Name,Set,Market $,Prices,Qty,TCG ID,Location,Date
Loudred 212/182 IR PAR,Paradox Rift,$14.15,"NM $14.18 (last sold 10.75, 16.13, 12.19)",1,523893,,2026-05-12
Lugia V 138/195 UR SIT,Silver Tempest,$14.59,"NM $14.49 (last sold 14.54, 19.90, 19.85)",1,450289,,2026-05-12
Salamence VMAX 194/189 Rainbow DAA,Darkness Ablaze,$14.15,"NM $14.01 (last sold 14.11, 17.25, 13.57)",1,219320,,2026-05-12
Pidgeot ex 225/197 SIR OBF,Obsidian Flames,$20.73,"NM $20.86 (last sold 20.97, 19.00, 21.99)",1,509983,,2026-05-12
M Blastoise EX 22/108 UR EVO,XY - Evolutions,$16.42,"NM $20.28 (last sold 19.43, 20.31, 21.99)",1,124035,,2026-05-12
Lapras (10) 10 Holo Rare FO,Fossil,$19.84,"NM $25.11 (last sold 22.34, 15.99, 36.99) · LP $30.63 (last sold 14.99, 11.21, 119.11) · MP $17.02 (last sold 69.95, 10.00, 10.26) · HP $9.91 (last sold 10.05, 9.77) · eBay $111.20 (last sold 10.50, 500.00, 19.99)",1,44419,,2026-05-12
Rotom ex 126/094 SIR PFL,Phantasmal Flames,$19.55,"NM $19.49 (last sold 18.99, 21.51, 20.25)",1,662222,,2026-05-12
Cofagrigus 123/086 IR WHT,White Flare,$19.65,"NM $19.73 (last sold 20.59, 19.75, 18.21)",1,642235,,2026-05-12
Butterfree VMAX 190/189 Rainbow DAA,Darkness Ablaze,$19.28,"NM $19.48 (last sold 15.00, 20.25, 15.00)",1,219312,,2026-05-12
Ho-Oh GX SM80 SMP,SM80 - SM Promos,$15.00,"NM $18.25 (last sold 17.86, 17.86, 17.35)",1,148425,,2026-05-12
Galarian Moltres V 183/172 Rainbow BRS,Brilliant Stars,$16.15,"NM $15.87 (last sold 14.99, 15.89, 16.24)",1,263903,,2026-05-12
Paldean Wooper 180/091 Shiny PAF,Paldean Fates,$7.62,"NM $9.76 (last sold 8.39, 9.07, 9.98)",1,535093,,2026-05-12
Enamorus V - SWSH11: Lost Origin Trainer Gallery (SWSH11: TG) TG18/TG30,,$9.57,"NM $9.55 (last sold 13.99, 11.99, 8.75)",1,284284,,2026-05-12
Lance's Charizard V SWSH133 SWSD,Sword & Shield Promo Cards,$4.43,"NM $9.63 (last sold 8.72, 9.99, 9.71)",1,251089,,2026-05-12
Flamigo 227/193 IR PAL,Paldea Evolved,$10.77,"NM $10.64 (last sold 8.90, 18.97, 11.13)",1,497630,,2026-05-12
Hoopa V - SWSH: Crown Zenith: Galarian Gallery (CRZ:GG) GG53/GG70,,$10.75,"NM $10.54 (last sold 12.00, 11.61, 10.83)",1,477181,,2026-05-12
Entei 34/53 Promo PR,WoTC Promo,$31.15,"NM $34.15 (last sold 28.97, 37.89, 30.78) · LP $14.91 (last sold 14.98, 14.84, 14.94) · MP $10.47 (last sold 9.99, 10.95) · HP $8.64 (last sold 8.48, 8.80) · eBay $18.08 (last sold 6.50, 18.88, 25.00)",1,85270,,2026-05-12
Raikou 2 POP,POP Series 2,$4.77,NM $25.32 (last sold 25.32),1,88533,,2026-05-12
Eevee ex 075/131 RR PRE,Prismatic Evolutions,$6.57,"NM $6.55 (last sold 6.34, 6.79, 6.44)",1,610430,,2026-05-12
Charmander 038 MEP,Mega Evolution Promo,$40.21,"NM $44.42 (last sold 45.10, 43.95, 41.95)",1,684462,,2026-05-12
Bulbasaur 037 MEP,Mega Evolution Promo,$23.18,"NM $25.11 (last sold 24.50, 24.75, 23.51)",1,684461,,2026-05-12
Squirtle 039 MEP,Mega Evolution Promo,$28.23,"NM $31.00 (last sold 29.00, 31.00, 31.00)",1,684463,,2026-05-12
Celebi & Venusaur GX SM167 SMP,SM167 - SM Promos,$75.69,"NM $74.05 (last sold 78.35, 89.94, 75.44)",1,185984,,2026-05-12
Green's Exploration 209/214 FA SM10,SM - Unbroken Bonds,$99.35,"NM $106.33 (last sold 110.00, 112.56, 110.00)",1,189278,,2026-05-12
Latios 203/191 IR SSP,Surging Sparks,$35.84,"NM $35.92 (last sold 34.93, 32.34, 32.00)",1,589987,,2026-05-12
Pikachu V SWSH145 SWSD,Sword & Shield Promo Cards,$104.38,"NM $107.24 (last sold 139.68, 107.15, 122.45)",1,251102,,2026-05-12
Scizor EX 119/122 FA BKP,XY - BREAKpoint,$23.56,"NM $25.14 (last sold 18.00, 34.95, 23.23)",1,111564,,2026-05-12
Origin Forme Palkia VSTAR (Secret) (192) 192 SR ASR,Astral Radiance,$12.10,"NM $12.32 (last sold 12.00, 12.09, 12.00)",1,272446,,2026-05-12
Braviary 214/191 IR SSP,Surging Sparks,$5.10,"NM $5.08 (last sold 8.38, 6.36, 4.99)",1,589879,,2026-05-12
Darumaka 097/086 IR BLK,Black Bolt,$11.67,"NM $11.67 (last sold 10.47, 13.25, 10.37)",1,642547,,2026-05-12
Dusknoir 070/064 IR SFA,Shrouded Fable,$35.80,"NM $35.37 (last sold 39.99, 34.69, 34.75)",1,560381,,2026-05-12
Lairon 184/167 IR TWM,Twilight Masquerade,$4.71,"NM $5.46 (last sold 8.00, 6.85, 6.55)",1,550228,,2026-05-12
Lillie's Clefairy ex 184/159 SIR JTG,Journey Together,$131.83,"NM $129.29 (last sold 128.00, 129.99, 130.00)",1,623611,,2026-05-12
Mega Zygarde ex 120/088 SIR POR,Perfect Order,$88.87,"NM $89.57 (last sold 89.23, 89.21, 89.70)",1,684338,,2026-05-12
Poochyena - SWSH: Crown Zenith: Galarian Gallery (CRZ:GG) GG33/GG70,,$5.60,"NM $6.54 (last sold 6.44, 6.50, 4.99)",2,478062,,2026-05-12
